"V1","V2","V3","V4","V5","V6"
0.330499824468052,0.0229787666512801,NA,NA,NA,NA
0.18283852562624,NA,NA,NA,NA,NA
0.295247768153747,1.19620698469153e-08,NA,NA,NA,NA
0.177224810322453,0.784516427421077,0.000243911104959784,NA,NA,NA
NA,0.0877643211105275,0.315309544780979,0.0269666904018112,NA,NA
NA,NA,0.056214083159904,0.266362286509592,0.456445643590031,NA
0.0141890714295071,0.0416310167856226,0.254433224428036,2.69443851696918e-05,NA,NA
NA,0.0208163084191086,0.126611798337115,0.226688286132329,NA,NA
NA,NA,0.048255584686974,0.255859753957751,0.150813084637825,NA
NA,0.0422931476503147,0.168965423531935,0.000802161457569068,NA,NA
NA,NA,0.0299664299700979,0.180986067027584,0.0152269444505248,NA
NA,NA,NA,0.0423078101281942,0.307364677864189,0.213313396709308
NA,NA,NA,NA,0.07014964945743,0.621950071914708
NA,NA,NA,NA,NA,0.164736531375984
NA,NA,NA,NA,NA,NA
